icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
00.80,0080,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
00.81,0081,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
00.82,0082,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
00.83,0083,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
00.84,0084,Orthopedics,Ortho,Arthroplasty,"TKA, revision TKA",T/S,Type and Screen,1
01.24,0124,ENT (Otolaryngology),ENT,Head-Neck,Craniofacial resection,T/S,Type and Screen,2
01.24,0124,ENT (Otolaryngology),ENT,Rhino,Craniofacial resection,T/S,Type and Screen,2
01.24,0124,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (aneurysm),G/M,Group and Match (crossmatch),2
01.24,0124,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (hematoma),none,No blood preparation,
01.24,0124,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
01.24,0124,ENT (Otolaryngology),ENT,Oto,Infratemporal fossa app,none,No blood preparation,
01.25,0125,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (aneurysm),G/M,Group and Match (crossmatch),2
01.25,0125,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (hematoma),none,No blood preparation,
01.25,0125,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
01.39,0139,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
01.51,0151,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
01.52,0152,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
01.53,0153,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
01.59,0159,ENT (Otolaryngology),ENT,Oto,CPA tumor surgery,none,No blood preparation,
01.59,0159,General Surgery,Sx,ศัลยกรรมระบบประสาท,Craniotomy (tumor),G/M,Group and Match (crossmatch),4
03.01,0301,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
03.01,0301,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
03.02,0302,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
03.02,0302,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
03.09,0309,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
03.09,0309,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
03.4,034,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
03.4,034,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
03.53,0353,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
03.53,0353,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
04.01,0401,ENT (Otolaryngology),ENT,Oto,CPA tumor surgery,none,No blood preparation,
