sheet,procedure_group,operation,icd9_code,icd9_name,msbos,recommended_units,source,confirmed_on,note
ENT,,Septoplasty,21.5,Submucous resection of nasal septum,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Mandibular surgery,76.76,Open reduction of mandibular fracture,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Maxillectomy,76.65,Segmental osteoplasty(osteotomy) of maxilla,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Other operations on oral cavity,25.1,Excision or destruction of lesion or tissue of tongue,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Other operations on oral cavity,25.2,Partial glossectomy,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Other operations on oral cavity,25.3,Complete glossectomy,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Other operations on oral cavity,27.31,Local excision or destruction of lesion or tissue of bony palate,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Other operations on oral cavity,27.32,Wide excision or destruction of lesion or tissue of bony palate,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Head-Neck,Pharyngeal surgery,29.3,Excision or destruction of lesion or tissue of pharynx,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
ENT,Larynx,Tracheal surgery,31.1,Temporary tracheostomy,none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก ENT)
OB-Gyn,,Other excision or destruction of lesion of uterus,69.42,Closure of fistula of uterus,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก OB-Gyn)
OB-Gyn,Hysterectomy,Laparoscopically assisted vaginal hysterectomy (LAVH),68.59,Other vaginal hysterectomy,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก OB-Gyn)
OB-Gyn,Hysterectomy,Other and unspecified total abdominal hysterectomy,68.39,"Other subtotal abdominal hysterectomy, NOS",T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก OB-Gyn)
OB-Gyn,Hysterectomy,Other and unspecified total abdominal hysterectomy,68.69,Other and unspecified radical abdominal hysterectomy,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก OB-Gyn)
OB-Gyn,Hysteroscopy,Closed biopsy of uterus,68.16,Closed biopsy of uterus,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก OB-Gyn)
Ortho,Arthroplasty,"THA, revision THA",07.0,"Revision of hip replacement, both acetabular and femoral components",G/M,2,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Ortho)
Ortho,TL spine,3 level ขึ้นไป,84.51,Insertion of interbody spinal fusion device,G/M,1,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Ortho)
Ortho,Trauma,"ORIF olecranon, around elbow. forearm, wrist",79.33,"Open reduction of fracture with internal fixation, carpals and metacarpals",none,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Ortho)
Ortho,Tumor,Amputation,84.12,Amputation through foot,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Ortho)
Ortho,Tumor,Amputation,84.17,Amputation above knee,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Ortho)
Sx,ศัลยกรรมทั่วไป,Complex EVAR,39.73,Endovascular implantation of graft in thoracic aorta,G/M,2,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
