oprtact,icd9,icd9_nodot,score,human_index,human_agreed,human_icd9,name
AN008,412,412,0.935,1,false,411,Open biopsy of cranial or peripheral nerve or ganglion
AS012,7534,7534,0.989,0,true,,Other fetal monitoring
AS014,9504,9504,0.927,1,false,9991,Eye examination under anesthesia
AS017,9991,9991,1.000,1,false,9992,Acupuncture for anesthesia
AS019,3897,3897,1.000,1,false,8962,Central venous catheter placement with guidance
AS036,9991,9991,0.931,1,false,480,Acupuncture for anesthesia
AS037,9991,9991,0.860,1,false,9439,Acupuncture for anesthesia
AS039,9984,9984,1.000,0,true,,Isolation
AS040,8960,8960,1.000,1,false,9670,Continuous intra-arterial blood gas monitoring
AS041,12,12,0.923,1,false,9396,Administration of inhaled nitric oxide
AS042,9605,9605,0.987,1,false,9670,Other intubation of respiratory tract
AS044,8606,8606,0.918,1,false,390,Insertion of totally implantable infusion pump
AS048,8911,8911,1.000,0,true,,Tonometry
AS049,9981,9981,0.973,0,true,,Hypothermia (central) (local)
AS050,11,11,0.894,1,false,391,Infusion of drotrecogin alfa (activated)
AS051,391,391,0.996,1,false,1770,Injection of anesthetic into spinal canal for analgesia
AS052,9462,9462,0.978,0,true,,Alcohol detoxification
AS053,9991,9991,0.903,1,false,15,Acupuncture for anesthesia
AS054,9991,9991,0.850,1,false,391,Acupuncture for anesthesia
AS055,9604,9604,1.000,1,false,3322,Insertion of endotracheal tube
AS056,9425,9425,1.000,1,false,9429,Other psychiatric drug therapy
AS057,9991,9991,0.906,1,false,531,Acupuncture for anesthesia
AS058,8872,8872,1.000,1,false,8878,Diagnostic ultrasound of heart
AS059,481,481,0.967,1,false,480,Injection of anesthetic into peripheral nerve for analgesia
AS060,9427,9427,1.000,1,false,9424,Other electroshock therapy
AS061,481,481,1.000,1,false,480,Injection of anesthetic into peripheral nerve for analgesia
AS062,481,481,1.000,1,false,489,Injection of anesthetic into peripheral nerve for analgesia
AS064,68,68,0.982,1,false,8960,Intravascular pressure measurement of peripheral arteries
AS065,3897,3897,0.962,1,false,8962,Central venous catheter placement with guidance
AS066,8964,8964,1.000,1,false,3721,Pulmonary artery wedge monitoring
AS067,9906,9906,0.978,1,false,9919,Transfusion of coagulation factors
AS068,9984,9984,1.000,0,true,,Isolation
AS069,9604,9604,1.000,1,false,3148,Insertion of endotracheal tube
AS070,480,480,1.000,1,false,481,"Peripheral nerve injection, not otherwise specified"
AS071,8968,8968,1.000,1,false,8967,Monitoring of cardiac output by other technique
AS072,94,94,1.000,1,false,442,Intra-operative neurophysiologic monitoring
AS073,94,94,0.992,1,false,117,Intra-operative neurophysiologic monitoring
AS075,9526,9526,0.845,1,false,476,"Tonography, provocative tests, and other glaucoma testing"
AS076,531,531,0.938,0,true,,Injection of anesthetic into sympathetic nerve for analgesia
AS077,8192,8192,0.941,0,true,,Injection of therapeutic substance into joint or ligament
AS078,8192,8192,1.000,0,true,,Injection of therapeutic substance into joint or ligament
AS079,9925,9925,0.991,1,false,9929,Injection or infusion of cancer chemotherapeutic substance
AS080,9984,9984,0.782,0,true,,Isolation
AS081,8968,8968,1.000,1,false,7538,Monitoring of cardiac output by other technique
AS082,9051,9051,0.997,1,false,9906,"Microscopic examination of blood, bacterial smear"
AS084,9973,9973,0.985,1,false,9900,Therapeutic erythrocytapheresis
AS085,395,395,0.850,2,false,531,Spinal blood patch
AS086,9984,9984,0.991,0,true,,Isolation
BB604,9972,9972,1.000,0,true,,Therapeutic leukopheresis
BB605,9979,9979,0.960,1,false,9971,Other therapeutic apheresis
BB606,9971,9971,1.000,1,false,9979,Therapeutic plasmapheresis
BB607,4104,4104,1.000,1,false,4101,Autologous hematopoietic stem cell transplant without purging
BB608,4104,4104,1.000,1,false,4109,Autologous hematopoietic stem cell transplant without purging
BB609,4101,4101,0.994,1,false,4109,Autologous bone marrow transplant without purging
BB610,4106,4106,0.966,1,false,4104,Cord blood stem cell transplant
BB611,9905,9905,0.774,0,true,,Transfusion of platelets
BB612,9910,9910,1.000,0,true,,Injection or infusion of thrombolytic agent
BB613,8882,8882,0.994,0,true,,Ocular thermography
BB614,3899,3899,0.941,1,false,6512,Other puncture of vein
BB615,4107,4107,1.000,1,false,4108,Autologous hematopoietic stem cell transplant with purging
BB617,9902,9902,1.000,0,true,,Transfusion of previously collected autologous blood
BB700,9984,9984,1.000,0,true,,Isolation
CC001,3722,3722,0.963,1,false,8857,Left heart cardiac catheterization
CC002,66,66,1.000,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CC003,66,66,1.000,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CC004,66,66,1.000,1,false,1755,Percutaneous transluminal coronary angioplasty [PTCA]
CC005,66,66,1.000,1,false,1755,Percutaneous transluminal coronary angioplasty [PTCA]
CC006,66,66,0.923,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CC010,3502,3502,0.991,1,false,3597,"Closed heart valvotomy, mitral valve"
CC011,3501,3501,1.000,1,false,3511,"Closed heart valvotomy, aortic valve"
CC012,3503,3503,1.000,1,false,3507,"Closed heart valvotomy, pulmonary valve"
CC013,3721,3721,1.000,1,false,3723,Right heart cardiac catheterization
CC014,3722,3722,1.000,1,false,8853,Left heart cardiac catheterization
CC015,3723,3723,1.000,1,false,8854,Combined right and left heart cardiac catheterization
CC016,8854,8854,0.971,1,false,3721,Combined right and left heart angiocardiography
CC017,3572,3572,1.000,1,false,3507,Other and unspecified repair of ventricular septal defect
CC018,3583,3583,0.846,1,false,3555,Total repair of truncus arteriosus
CC019,3976,3976,1.000,1,false,3975,Endovascular embolization or occlusion of vessel(s) of head or neck using bioactive coils
CC020,3725,3725,0.857,1,false,8511,Biopsy of heart
CC021,3778,3778,1.000,1,false,3772,Insertion of temporary transvenous pacemaker system
CC022,3783,3783,1.000,1,false,3782,Initial insertion of dual-chamber device
CC023,3772,3772,1.000,1,false,3783,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
CC024,3726,3726,1.000,1,false,3727,Catheter based invasive electrophysiologic testing
CC025,3727,3727,1.000,0,true,,Cardiac mapping
CC026,3727,3727,1.000,2,false,3721,Cardiac mapping
CC027,3727,3727,1.000,1,false,3726,Cardiac mapping
CC028,3783,3783,0.969,1,false,3787,Initial insertion of dual-chamber device
CC029,3782,3782,0.971,1,false,3783,"Initial insertion of single-chamber device, rate responsive"
CC030,3794,3794,1.000,1,false,3796,"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]"
CC031,28,28,1.000,1,false,22,"Intravascular imaging, other specified vessel(s)"
CC032,3728,3728,1.000,1,false,8853,Intracardiac echocardiography
CC033,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CC034,8850,8850,0.962,1,false,3710,"Angiocardiography, not otherwise specified"
CC035,8872,8872,1.000,1,false,3728,Diagnostic ultrasound of heart
CC036,8854,8854,0.985,1,false,3552,Combined right and left heart angiocardiography
CC037,8872,8872,0.992,1,false,3728,Diagnostic ultrasound of heart
CC038,8872,8872,1.000,1,false,8854,Diagnostic ultrasound of heart
CC039,8941,8941,0.975,1,false,8942,Cardiovascular stress test using treadmill
CC040,8942,8942,1.000,1,false,8944,Masters' two-step stress test
CC041,8941,8941,1.000,1,false,8942,Cardiovascular stress test using treadmill
CC042,8943,8943,1.000,1,false,8941,Cardiovascular stress test using bicycle ergometer
CC043,8941,8941,1.000,1,false,8943,Cardiovascular stress test using treadmill
CC044,8943,8943,0.979,1,false,8941,Cardiovascular stress test using bicycle ergometer
CC045,8943,8943,1.000,1,false,8944,Cardiovascular stress test using bicycle ergometer
CC046,8950,8950,1.000,1,false,8951,Ambulatory cardiac monitoring
CC047,8953,8953,0.994,0,true,,Vectorcardiogram (with ECG)
CC048,8952,8952,1.000,0,true,,Electrocardiogram
CC049,8945,8945,0.978,1,false,8948,Artificial pacemaker rate check
CC050,9336,9336,0.905,0,true,,Cardiac retraining
CC051,9984,9984,1.000,0,true,,Isolation
CC052,3609,3609,0.987,2,false,3603,Other removal of coronary artery obstruction
CC059,33,33,0.846,1,false,8839,Computer assisted surgery with fluoroscopy
CC060,8872,8872,0.989,1,false,3728,Diagnostic ultrasound of heart
CC061,3570,3570,1.000,1,false,3560,Other and unspecified repair of unspecified septal defect of heart
CC064,8872,8872,1.000,1,false,3728,Diagnostic ultrasound of heart
CC065,8951,8951,0.956,0,true,,Rhythm electrocardiogram
CC066,3780,3780,0.957,1,false,3781,"Insertion of permanent pacemaker, initial or replacement, type of device not specified"
CC067,3782,3782,1.000,1,false,3781,"Initial insertion of single-chamber device, rate responsive"
CC068,3772,3772,0.983,1,false,3783,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
CC069,3772,3772,0.983,1,false,3783,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
CC070,53,53,1.000,1,false,50,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
CC071,3795,3795,0.970,1,false,3796,Implantation of automatic cardioverter/defibrillator lead(s) only
CC072,3813,3813,0.886,1,false,8414,"Endarterectomy, upper limb vessels"
CC073,8425,8425,0.807,0,true,,Toe reattachment
CC074,3795,3795,1.000,1,false,3796,Implantation of automatic cardioverter/defibrillator lead(s) only
CC075,51,51,1.000,1,false,50,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
CC076,3607,3607,0.960,1,false,3950,Insertion of drug-eluting coronary artery stent(s)
CC077,63,63,1.000,1,false,62,Percutaneous insertion of carotid artery stent(s)
CC078,3990,3990,1.000,1,false,63,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
CC079,3765,3765,0.972,1,false,3766,Implant of single ventricular (extracorporeal) external heart assist system
CC080,3965,3965,1.000,1,false,3966,Extracorporeal membrane oxygenation [ECMO]
CC081,8949,8949,1.000,1,false,8945,Automatic implantable cardioverter/defibrillator (AICD) check
CC101,8855,8855,0.889,1,false,8857,Coronary arteriography using a single catheter
CC102,3723,3723,1.000,1,false,8854,Combined right and left heart cardiac catheterization
CC103,66,66,1.000,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CC104,66,66,0.967,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CC105,3502,3502,0.973,1,false,3512,"Closed heart valvotomy, mitral valve"
CC106,3501,3501,0.926,1,false,3522,"Closed heart valvotomy, aortic valve"
CC107,62,62,0.966,3,false,,Percutaneous angioplasty of intracranial vessel(s)
CC108,45,45,1.000,1,false,65,Insertion of one vascular stent
CC109,66,66,0.954,1,false,3507,Percutaneous transluminal coronary angioplasty [PTCA]
CC110,3541,3541,1.000,1,false,3542,Enlargement of existing atrial septal defect
CC111,3772,3772,1.000,1,false,3778,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
CC112,3796,3796,1.000,1,false,3794,Implantation of automatic cardioverter/defibrillator pulse generator only
CC113,51,51,1.000,1,false,50,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
CC114,3761,3761,1.000,1,false,3762,Implant of pulsation balloon
CC115,8872,8872,1.000,1,false,3728,Diagnostic ultrasound of heart
CC116,8941,8941,1.000,1,false,8944,Cardiovascular stress test using treadmill
CC117,8944,8944,1.000,1,false,8942,Other cardiovascular stress test
CC118,66,66,0.901,0,true,,Percutaneous transluminal coronary angioplasty [PTCA]
CC119,63,63,0.994,1,false,2106,Percutaneous insertion of carotid artery stent(s)
CC120,66,66,1.000,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CC121,8845,8845,1.000,1,false,8846,Arteriography of renal arteries
CC122,8862,8862,0.977,1,false,8848,Phlebography of pulmonary veins using contrast material
CC123,8844,8844,0.963,1,false,8843,Arteriography of other intrathoracic vessels
CC124,8961,8961,0.989,1,false,9964,Systemic arterial pressure monitoring
CC125,8961,8961,0.816,1,false,96,Systemic arterial pressure monitoring
CC126,3699,3699,0.969,1,false,3799,Other operations on vessels of heart
CC127,40,40,0.979,1,false,41,Procedure on single vessel
CC128,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CC129,52,52,0.958,1,false,50,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
CC130,53,53,0.909,1,false,51,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
CC131,8955,8955,1.000,1,false,8957,Phonocardiogram with ECG lead
CC132,8944,8944,1.000,1,false,8941,Other cardiovascular stress test
CC133,8952,8952,0.931,1,false,8950,Electrocardiogram
CC134,9984,9984,1.000,0,true,,Isolation
CC135,9984,9984,1.000,0,true,,Isolation
CC136,8941,8941,1.000,1,false,8942,Cardiovascular stress test using treadmill
CC137,3811,3811,0.936,1,false,8877,"Endarterectomy, intracranial vessels"
CC138,8872,8872,0.985,1,false,8961,Diagnostic ultrasound of heart
CC139,8950,8950,1.000,1,false,8952,Ambulatory cardiac monitoring
CC140,8950,8950,1.000,1,false,8955,Ambulatory cardiac monitoring
CC141,8950,8950,1.000,1,false,8952,Ambulatory cardiac monitoring
CC142,8950,8950,1.000,1,false,8955,Ambulatory cardiac monitoring
CC143,8950,8950,1.000,1,false,8951,Ambulatory cardiac monitoring
CC144,8950,8950,0.975,1,false,8952,Ambulatory cardiac monitoring
CC145,8957,8957,0.983,1,false,8941,Apexcardiogram (with ECG lead)
CC146,8951,8951,1.000,0,true,,Rhythm electrocardiogram
CC147,8961,8961,1.000,1,false,8911,Systemic arterial pressure monitoring
CC148,9962,9962,1.000,1,false,9961,Other electric countershock of heart
CC149,8952,8952,1.000,1,false,8951,Electrocardiogram
CC150,9984,9984,1.000,0,true,,Isolation
CC151,67,67,1.000,1,false,8961,Intravascular pressure measurement of intrathoracic arteries
CC218,3555,3555,1.000,1,false,3594,"Repair of ventricular septal defect with prosthesis, closed technique"
CC227,3727,3727,1.000,1,false,3726,Cardiac mapping
CC228,3572,3572,0.970,1,false,3598,Other and unspecified repair of ventricular septal defect
CC235,8872,8872,0.989,1,false,3728,Diagnostic ultrasound of heart
CC9137,8877,8877,1.000,1,false,3812,Diagnostic ultrasound of peripheral vascular system
CCMR001,8892,8892,1.000,1,false,9205,Magnetic resonance imaging of chest and myocardium
CCMR002,8941,8941,0.930,1,false,9205,Cardiovascular stress test using treadmill
CCMR003,8941,8941,1.000,1,false,8944,Cardiovascular stress test using treadmill
CCMR004,3699,3699,0.947,1,false,3799,Other operations on vessels of heart
CCMR005,8848,8848,0.972,1,false,3888,Arteriography of femoral and other lower extremity arteries
CCMR006,32,32,0.846,1,false,3829,Computer assisted surgery with MR/MRA
CCMR007,3973,3973,0.873,1,false,32,Endovascular implantation of graft in thoracic aorta
CCMR008,32,32,0.843,1,false,8842,Computer assisted surgery with MR/MRA
CCMR009,8845,8845,1.000,1,false,3924,Arteriography of renal arteries
CCMR010,8892,8892,0.985,1,false,8894,Magnetic resonance imaging of chest and myocardium
CCMR011,8859,8859,0.953,1,false,8857,Intra-operative coronary fluorescence vascular angiography
CCMR012,8843,8843,0.951,1,false,9215,Arteriography of pulmonary arteries
CCMR013,8944,8944,1.000,1,false,8942,Other cardiovascular stress test
CCMR014,8891,8891,0.961,1,false,8894,Magnetic resonance imaging of brain and brain stem
CCMR015,8891,8891,0.985,1,false,8896,Magnetic resonance imaging of brain and brain stem
CCS033,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CCS036,8854,8854,0.985,1,false,3552,Combined right and left heart angiocardiography
CCX001,8856,8856,1.000,1,false,8855,Coronary arteriography using two catheters
CCX002,66,66,1.000,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CCX003,66,66,0.995,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CCX010,3502,3502,0.991,1,false,3597,"Closed heart valvotomy, mitral valve"
CCX011,3501,3501,0.960,1,false,3596,"Closed heart valvotomy, aortic valve"
CCX012,3503,3503,0.948,1,false,3507,"Closed heart valvotomy, pulmonary valve"
CCX013,3721,3721,1.000,1,false,3723,Right heart cardiac catheterization
CCX014,3722,3722,1.000,1,false,8853,Left heart cardiac catheterization
CCX015,3723,3723,0.970,1,false,3722,Combined right and left heart cardiac catheterization
CCX016,8854,8854,0.971,1,false,3721,Combined right and left heart angiocardiography
CCX017,3555,3555,0.831,1,false,3583,"Repair of ventricular septal defect with prosthesis, closed technique"
CCX018,3555,3555,1.000,1,false,6825,"Repair of ventricular septal defect with prosthesis, closed technique"
CCX020,3725,3725,1.000,1,false,6013,Biopsy of heart
CCX021,3778,3778,1.000,1,false,3772,Insertion of temporary transvenous pacemaker system
CCX024,3726,3726,1.000,1,false,3727,Catheter based invasive electrophysiologic testing
CCX025,3727,3727,1.000,0,true,,Cardiac mapping
CCX026,3727,3727,1.000,2,false,5196,Cardiac mapping
CCX027,3727,3727,1.000,1,false,3726,Cardiac mapping
CCX031,28,28,1.000,1,false,22,"Intravascular imaging, other specified vessel(s)"
CCX032,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CCX033,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CCX034,8850,8850,0.962,1,false,3710,"Angiocardiography, not otherwise specified"
CCX035,8872,8872,1.000,1,false,3728,Diagnostic ultrasound of heart
CCX036,8854,8854,0.985,1,false,3552,Combined right and left heart angiocardiography
CCX037,3728,3728,0.929,1,false,8872,Intracardiac echocardiography
CCX038,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CCX039,8941,8941,1.000,1,false,8942,Cardiovascular stress test using treadmill
CCX040,8941,8941,1.000,1,false,8944,Cardiovascular stress test using treadmill
CCX041,8941,8941,1.000,1,false,8942,Cardiovascular stress test using treadmill
CCX042,8943,8943,1.000,1,false,8942,Cardiovascular stress test using bicycle ergometer
CCX043,8941,8941,1.000,1,false,8943,Cardiovascular stress test using treadmill
CCX044,8943,8943,0.979,1,false,8941,Cardiovascular stress test using bicycle ergometer
CCX045,8943,8943,1.000,1,false,8944,Cardiovascular stress test using bicycle ergometer
CCX046,8950,8950,1.000,1,false,8951,Ambulatory cardiac monitoring
CCX047,8953,8953,0.994,0,true,,Vectorcardiogram (with ECG)
CCX048,8952,8952,1.000,0,true,,Electrocardiogram
CCX049,8945,8945,0.978,1,false,8948,Artificial pacemaker rate check
CCX050,9336,9336,0.905,0,true,,Cardiac retraining
CCX059,33,33,0.846,1,false,8839,Computer assisted surgery with fluoroscopy
CCX060,8872,8872,0.989,1,false,3728,Diagnostic ultrasound of heart
CCX061,3570,3570,1.000,1,false,3560,Other and unspecified repair of unspecified septal defect of heart
CCX072,3813,3813,0.886,1,false,8414,"Endarterectomy, upper limb vessels"
CCX073,8425,8425,0.807,0,true,,Toe reattachment
CCX107,62,62,0.966,3,false,,Percutaneous angioplasty of intracranial vessel(s)
CCX108,45,45,0.952,1,false,62,Insertion of one vascular stent
CCX109,66,66,0.954,1,false,3507,Percutaneous transluminal coronary angioplasty [PTCA]
CCX110,3541,3541,0.982,1,false,3542,Enlargement of existing atrial septal defect
CCX111,3772,3772,1.000,1,false,3778,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
CCX112,3796,3796,1.000,1,false,3794,Implantation of automatic cardioverter/defibrillator pulse generator only
CCX113,51,51,1.000,1,false,50,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
CCX114,3761,3761,1.000,1,false,3762,Implant of pulsation balloon
CCX115,3728,3728,1.000,1,false,8872,Intracardiac echocardiography
CCX116,8941,8941,1.000,1,false,8944,Cardiovascular stress test using treadmill
CCX117,8944,8944,1.000,1,false,8942,Other cardiovascular stress test
CCX118,66,66,0.901,0,true,,Percutaneous transluminal coronary angioplasty [PTCA]
CCX119,63,63,0.948,1,false,66,Percutaneous insertion of carotid artery stent(s)
CCX120,66,66,1.000,1,false,3950,Percutaneous transluminal coronary angioplasty [PTCA]
CCX121,8845,8845,1.000,1,false,8846,Arteriography of renal arteries
CCX122,8862,8862,0.977,1,false,8848,Phlebography of pulmonary veins using contrast material
CCX123,8844,8844,0.963,1,false,8843,Arteriography of other intrathoracic vessels
